,AbnormalExtFormActionR,AbnormalFormAction,AgeDomain,AtSymbol,DomainInSubdomains,DoubleSlashInPath,EmbeddedBrandName,ExtFavicon,ExtMetaScriptLinkRT,FakeLinkInStatusBar,FrequentDomainNameMismatch,HostnameLength,HttpsInPath,IframeOrFrame,ImagesOnlyInForm,IpAddress,Malicious,MissingTitle,NoHttps,NumAmpersand,NumDash,NumDashInHost,NumDots,NumHash,NumNumericChars,NumPercent,NumQueryComponents,NumSensitiveWords,NumUnderscore,PathLength,PathLevel,PctExtHyperlinks,PctExtNullSelfRedirectHyperlinksRT,PctExtResourceUrls,PctExtResourceUrlsRT,PctNullSelfRedirectHyperlinks,PopUpWindow,QueryLength,RelativeFormAction,RightClickDisabled,SubdomainLevel,SubdomainLevelRT,SubmitInfoToEmail,TildeSymbol,URL,UrlLength,UrlLengthRT,rank_country,rank_host,src_escape_cnt,src_eval_cnt,src_exec_cnt,src_search_cnt
0,-1,0,0,0,0,0,1,0,-1,0,1,20,0,-1,0,0,0,1.0,0,0,0,0,2,0,4,2,0,0,0,39,3,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,1,0,-1,0,faculty.woodbury.edu/karayanj/Department%20of%20Accounting/,66,1,-1,-1,0,0,0,0
1,-1,0,0,0,0,0,0,0,-1,0,1,41,0,-1,0,0,0,1.0,0,0,3,3,1,0,0,0,0,0,0,1,1,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,fairfax-virginia-private-investigator.com/,49,1,-1,-1,0,0,0,0
2,-1,0,0,0,0,0,0,0,-1,0,1,21,0,-1,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,fairfashionshoes.info/,29,1,-1,-1,0,0,0,0
3,-1,0,0,0,0,0,0,0,-1,0,1,23,0,-1,0,0,0,1.0,0,0,13,0,1,0,9,0,0,0,0,104,5,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,fahariartsinstitute.org/2011/02/08/untied-but-not-removed-fahari-arts-institute-presents-2nd-annual-marlon-riggs-film-festival/,134,-1,-1,-1,0,0,0,0
4,-1,0,0,0,0,0,0,0,-1,0,1,41,0,-1,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,fairfaxvirginiacriminaldefenselawyers.com/,49,1,-1,-1,0,0,0,0
5,-1,0,0,0,0,0,0,0,-1,0,1,26,0,-1,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,fairfaxairconditioning.com/,34,1,-1,-1,0,0,0,0
6,1,0,1,0,0,0,1,1,1,0,1,19,0,1,0,1,0,0.0,1,0,0,0,2,0,0,0,0,0,0,1,1,1.0,1.0,1.0,1,1.0,-1,0,0,-1,1,0,1,0,fafafa.bandcamp.com/,28,1,-1,-1,0,0,0,0
7,-1,0,1,0,0,0,1,0,-1,0,1,31,0,-1,0,1,0,1.0,1,0,0,0,2,0,0,0,0,0,0,1,1,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,1,0,-1,0,fafirrooelaallaah.wordpress.com/,40,1,-1,-1,0,0,0,0
8,-1,0,0,0,0,0,0,0,-1,0,1,22,0,-1,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,fairfaxhomesonline.com/,30,1,-1,-1,0,0,0,0
9,-1,0,0,0,0,0,1,0,-1,0,1,20,0,-1,0,1,0,1.0,1,0,3,0,3,0,2,0,0,0,0,39,3,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,1,0,-1,0,fagcity.blogspot.com/2009/09/style-icon-melora-creager.html,67,1,-1,-1,0,0,0,0
