,AbnormalExtFormActionR,AbnormalFormAction,AgeDomain,AtSymbol,DomainInSubdomains,DoubleSlashInPath,EmbeddedBrandName,ExtFavicon,ExtMetaScriptLinkRT,FakeLinkInStatusBar,FrequentDomainNameMismatch,HostnameLength,HttpsInPath,IframeOrFrame,ImagesOnlyInForm,IpAddress,Malicious,MissingTitle,NoHttps,NumAmpersand,NumDash,NumDashInHost,NumDots,NumHash,NumNumericChars,NumPercent,NumQueryComponents,NumSensitiveWords,NumUnderscore,PathLength,PathLevel,PctExtHyperlinks,PctExtNullSelfRedirectHyperlinksRT,PctExtResourceUrls,PctExtResourceUrlsRT,PctNullSelfRedirectHyperlinks,PopUpWindow,QueryLength,RelativeFormAction,RightClickDisabled,SubdomainLevel,SubdomainLevelRT,SubmitInfoToEmail,TildeSymbol,URL,UrlLength,UrlLengthRT,rank_country,rank_host,src_escape_cnt,src_eval_cnt,src_exec_cnt,src_search_cnt
5353,1,0,1,0,1,0,1,1,0,0,0,17,0,1,0,1,0,0.0,1,0,0,0,5,0,6,0,0,0,2,61,4,100.0,0.0,0.0,1,0.0,-1,0,0,-1,1,0,1,0,csc.cps.k12.il.us/purchasing/uploadedfiles/solicitations/vendor_info_2005.html,86,-1,-1,-1,0,0,0,0
5354,1,0,1,0,0,0,1,1,0,0,0,13,0,1,0,1,0,0.0,1,0,0,0,1,0,8,0,0,0,1,19,2,23.92638036809816,0.0,100.0,-1,0.0,-1,0,1,-1,0,-1,1,0,dailynews.com/sports/ci_19070900,40,1,-1,-1,0,0,0,0
5355,1,0,1,0,0,0,0,1,1,0,1,19,0,1,0,1,0,0.0,1,0,3,0,1,0,8,0,0,0,0,42,5,1.0,1.0,1.0,1,1.0,-1,0,0,-1,0,-1,1,0,delawareliberal.net/2008/02/25/allan-loudell-supports-mccain/,69,1,-1,-1,0,0,0,0
5356,1,0,0,0,0,0,1,1,-1,0,0,11,0,1,0,1,0,0.0,1,0,0,0,1,0,2,0,0,0,0,25,4,22.54901960784314,0.0,100.0,-1,0.0,-1,0,0,-1,0,-1,1,0,csuohio.edu/business/dialogue/may09/,44,1,-1,-1,0,0,0,0
5357,-1,0,1,0,0,0,1,0,-1,0,1,28,0,-1,0,0,0,1.0,0,0,2,0,3,0,15,0,0,0,0,39,3,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,2,1,-1,0,connect.connect.facebook.com/people/Lalaine-de-Vera/100000291080105,74,1,-1,-1,0,0,0,0
5358,1,0,1,0,0,0,1,1,0,0,0,19,0,1,0,1,0,0.0,1,0,3,0,2,0,7,0,0,0,0,47,3,36.95652173913043,0.0,66.66666666666666,-1,0.0,-1,0,0,-1,0,-1,1,0,corporationwiki.com/Georgia/Tifton/riggs-cecil-austin-9286737.aspx,74,1,-1,-1,0,0,0,0
5359,1,0,1,0,0,0,1,1,0,0,0,12,0,1,0,1,0,0.0,1,0,1,0,1,0,0,0,0,0,0,19,3,28.01556420233463,0.0,48.148148148148145,0,0.0,-1,0,1,-1,0,-1,1,0,deadline.com/tag/alex-kurtzman/,39,1,-1,-1,0,0,0,0
5360,-1,0,1,0,0,0,1,0,-1,0,1,17,0,-1,0,1,0,1.0,1,0,3,0,2,0,23,0,1,0,1,33,2,0.0,-1.0,0.0,-1,0.0,-1,38,0,-1,0,-1,-1,0,dallascowboys.com/multimedia/multimedia_center.cfm?id=B88BA768-F112-3CD0-C65971911E9400A2,97,-1,-1,-1,0,0,0,0
5361,1,0,0,0,0,0,1,1,-1,0,1,13,0,1,0,1,0,0.0,1,0,0,0,2,0,3,0,0,0,0,30,3,16.666666666666664,0.0,1.0,1,0.0,-1,0,0,-1,0,-1,1,0,csufresno.edu/folklore/ballads/Beld253.html,51,1,-1,-1,0,0,0,0
5362,1,0,0,0,0,0,1,1,0,0,0,21,0,1,0,1,0,0.0,1,0,19,0,2,0,16,0,0,0,0,157,4,26.351351351351347,0.0,50.0,0,0.0,-1,0,1,-1,0,-1,1,0,dailytelegraph.com.au/sport/golf/tiger-woods-new-girlfriend-alyse-lahti-johnston-is-next-door-neighbour-and-step-daughter-of-glasgow-rangers-chairman/story-e6frey60-1226025995927,186,-1,-1,-1,0,0,0,0
5363,-1,0,0,0,0,0,0,0,-1,0,1,27,0,-1,0,0,0,1.0,0,0,2,2,1,0,0,0,0,0,0,15,3,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,construction-in-america.com/goods/Plaster/,49,1,-1,-1,0,0,0,0
5364,-1,0,1,0,0,0,1,0,-1,0,1,11,0,-1,0,1,0,1.0,0,0,0,0,1,0,0,0,0,0,1,20,2,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,daylife.com/topic/Daniel_Paille,38,1,-1,-1,0,0,0,0
5365,1,0,1,0,0,0,1,1,1,0,1,18,0,1,0,1,0,0.0,1,0,5,0,1,0,7,0,0,0,0,32,2,100.0,1.0,100.0,-1,1.0,-1,0,0,-1,0,-1,1,0,conversantlife.com/film/top-100-films-of-the-2000s,58,1,-1,-1,0,0,0,0
5366,-1,0,0,0,0,0,1,0,-1,0,1,6,0,-1,0,1,0,1.0,1,0,0,0,1,0,14,0,0,0,2,42,5,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,ctv.ca/CTVNews/Canada/20070320/gill_note_070320/,56,1,-1,-1,0,0,0,0
5367,1,0,1,0,0,0,1,1,1,0,1,7,0,1,0,1,0,0.0,1,0,0,0,2,0,4,0,0,0,0,26,3,94.3089430894309,1.0,95.16908212560386,-1,1.0,-1,0,0,-1,0,-1,1,0,csg.org/pubs/Election2008/MO.aspx,41,1,-1,-1,0,0,0,0
5368,-1,0,0,0,0,0,1,0,-1,0,1,6,0,-1,0,1,0,1.0,1,0,0,0,1,0,14,0,0,0,2,50,5,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,ctv.ca/CTVNews/Specials/20080527/bernier_history_080527/,64,1,-1,-1,0,0,0,0
5369,-1,0,1,0,0,0,1,0,-1,0,1,11,0,-1,0,1,0,1.0,0,0,0,0,1,0,0,0,0,0,1,22,2,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,daylife.com/topic/Pablo_Rodriguez,40,1,-1,-1,0,0,0,0
5370,1,0,1,0,0,0,1,1,-1,0,0,13,0,1,0,1,0,0.0,1,0,0,0,2,0,0,0,0,0,0,39,5,22.481442205726403,0.0,100.0,-1,0.0,-1,0,0,-1,0,-1,1,0,commscope.com/andrew/eng/product/antennas/index.html,60,1,-1,-1,0,0,0,0
5371,-1,0,1,0,0,0,1,0,-1,0,1,11,0,-1,0,1,0,1.0,0,0,0,0,1,0,0,0,0,0,3,41,2,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,daylife.com/topic/Circuit_Gilles_Villeneuve_Montreal,59,1,-1,-1,0,0,0,0
5372,1,0,0,0,0,0,1,1,-1,0,0,9,0,1,0,1,0,0.0,1,0,0,0,1,0,0,0,0,0,0,23,5,84.4155844155844,0.0,100.0,-1,0.0,-1,0,0,-1,0,-1,1,0,cogeco.ca/web/on/en/residential/,40,1,-1,-1,0,0,0,0
5373,1,0,1,0,0,0,1,-1,1,0,1,18,0,1,0,1,0,0.0,1,0,0,0,2,0,0,0,0,1,0,10,1,100.0,0.0,1.0,1,0.0,-1,0,0,-1,0,-1,1,0,comptoirgascon.com/about.php,36,1,-1,-1,0,0,0,0
