,AbnormalExtFormActionR,AbnormalFormAction,AgeDomain,AtSymbol,DomainInSubdomains,DoubleSlashInPath,EmbeddedBrandName,ExtFavicon,ExtMetaScriptLinkRT,FakeLinkInStatusBar,FrequentDomainNameMismatch,HostnameLength,HttpsInPath,IframeOrFrame,ImagesOnlyInForm,IpAddress,Malicious,MissingTitle,NoHttps,NumAmpersand,NumDash,NumDashInHost,NumDots,NumHash,NumNumericChars,NumPercent,NumQueryComponents,NumSensitiveWords,NumUnderscore,PathLength,PathLevel,PctExtHyperlinks,PctExtNullSelfRedirectHyperlinksRT,PctExtResourceUrls,PctExtResourceUrlsRT,PctNullSelfRedirectHyperlinks,PopUpWindow,QueryLength,RelativeFormAction,RightClickDisabled,SubdomainLevel,SubdomainLevelRT,SubmitInfoToEmail,TildeSymbol,URL,UrlLength,UrlLengthRT,rank_country,rank_host,src_escape_cnt,src_eval_cnt,src_exec_cnt,src_search_cnt
0,-1,0,0,0,0,0,0,0,-1,0,1,26,0,-1,0,0,0,1.0,0,0,12,0,1,0,3,0,0,0,0,86,3,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,canadavacationpackages.net/minor-bay-lodge-fishing-with-midwest-outdoors-host-roger-cormier-and-his-friends/997/,119,-1,-1,-1,0,0,0,0
1,-1,0,0,0,0,0,0,0,-1,0,1,15,0,-1,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,canadawaybp.com/,23,1,-1,-1,0,0,0,0
2,-1,0,0,0,0,0,0,0,-1,0,1,17,0,-1,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,canadianarepa.com/,25,1,-1,-1,0,0,0,0
3,-1,0,0,0,0,0,0,0,-1,0,1,27,0,-1,0,0,0,1.0,0,0,1,0,1,0,0,0,0,0,0,27,3,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,canadianpassportsupport.com/birth-certificates/quebec/,61,1,-1,-1,0,0,0,0
4,-1,0,0,0,0,0,0,0,-1,0,1,24,0,-1,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,canadiancustomcredit.com/,32,1,-1,-1,0,0,0,0
5,-1,0,0,0,0,0,0,0,-1,0,1,44,0,-1,0,0,0,1.0,0,0,1,1,1,0,0,0,0,0,0,1,1,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,canadian-latinamericancommercialservices.com/,52,1,-1,-1,0,0,0,0
6,-1,0,0,0,0,0,0,0,-1,0,1,28,0,-1,0,0,0,1.0,0,0,2,0,1,0,0,0,0,0,0,36,3,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,canadianfootballscouting.com/category/canada-football-prospects/,71,1,-1,-1,0,0,0,0
7,-1,0,0,0,0,0,0,0,-1,0,1,28,0,-1,0,0,0,1.0,0,0,3,0,1,0,6,0,0,0,0,31,4,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,canadianfootballscouting.com/2010/03/nic-top-qb-performers/,66,1,-1,-1,0,0,0,0
8,-1,0,0,0,0,0,0,0,-1,0,1,22,0,-1,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,0,6,3,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,canadianfishingpal.com/d/on/,35,1,-1,-1,0,0,0,0
9,-1,0,0,0,0,0,1,0,-1,0,1,22,0,-1,0,1,0,1.0,1,0,0,0,3,0,0,0,0,0,0,31,4,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,1,0,-1,0,canadaonline.about.com/od/quebec/p/andreboisclair.htm,61,1,-1,-1,0,0,0,0
10,-1,0,0,0,0,0,0,0,-1,0,1,27,0,-1,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,canadiandiamondedmonton.com/,35,1,-1,-1,0,0,0,0
11,-1,0,0,0,0,0,0,0,-1,0,1,28,0,-1,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,0,24,3,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,canadianfootballscouting.com/category/uncategorized/,59,1,-1,-1,0,0,0,0
12,-1,0,0,0,0,0,0,0,-1,0,1,23,0,-1,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,canadianiceprincess.com/,31,1,-1,-1,0,0,0,0
13,-1,0,0,0,0,0,0,0,-1,0,1,34,0,-1,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,0,6,1,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,canadianrvpal.com/d/on/,42,1,-1,-1,0,0,0,0
14,-1,0,0,0,0,0,0,0,-1,0,1,17,0,-1,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,canadianiranianartsassociation.com/,30,1,-1,-1,0,0,0,0
15,-1,0,0,0,0,0,0,0,-1,0,1,34,0,-1,0,0,0,1.0,0,0,0,0,1,0,4,0,0,0,0,1,3,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,canadianjuniorchampionship2011.com/,42,1,-1,-1,0,0,0,0
16,-1,0,0,0,0,0,0,0,-1,0,1,37,0,-1,0,0,0,1.0,0,0,0,0,1,0,4,0,0,0,0,1,1,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,canadianbigleaguechampionship2011.com/,45,1,-1,-1,0,0,0,0
17,-1,0,0,0,0,0,0,0,-1,0,1,28,0,-1,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,canadianfootballscouting.com/,36,1,-1,-1,0,0,0,0
18,1,0,0,0,0,0,1,1,1,0,1,22,0,1,0,1,0,0.0,1,0,0,0,3,0,2,0,0,0,2,38,3,1.0,1.0,1.0,1,1.0,-1,0,0,-1,1,0,1,0,canadaonline.about.com/od/novelstudies/Novel_Studies_K12.htm,68,1,-1,-1,0,0,0,0
19,1,0,0,0,0,0,1,1,1,0,1,22,0,1,0,1,0,0.0,1,0,0,0,3,0,0,0,0,0,0,38,4,1.0,1.0,1.0,1,1.0,-1,0,0,-1,1,0,1,0,canadaonline.about.com/od/olympicathletes/a/alexbilodeau.htm,68,1,-1,-1,0,0,0,0
20,1,0,0,0,0,0,1,1,1,0,1,22,0,1,0,1,0,0.0,1,0,0,0,3,0,0,0,0,0,2,33,3,1.0,1.0,1.0,1,1.0,-1,0,0,-1,1,0,1,0,canadaonline.about.com/od/quebec/Province_of_Quebec.htm,63,1,-1,-1,0,0,0,0
21,-1,0,0,0,0,0,1,0,-1,0,1,24,0,-1,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,0,1,1,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,canadiansoccerleague.com/,32,1,-1,-1,0,0,0,0
22,-1,0,0,0,0,0,1,0,-1,0,1,28,0,-1,0,1,0,1.0,1,0,1,1,2,0,0,0,0,0,0,1,1,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,1,0,-1,0,canadian-forces.blogspot.com/,37,1,-1,-1,0,0,0,0
23,-1,0,0,0,0,0,1,0,-1,0,1,34,0,-1,0,1,0,1.0,1,0,0,0,2,0,0,0,0,0,0,1,1,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,1,0,-1,0,canadianmusicartists.wordpress.com/,43,1,-1,-1,0,0,0,0
24,-1,0,0,0,0,0,1,0,-1,0,1,16,0,-1,0,1,0,1.0,1,0,0,0,1,0,0,0,0,0,0,1,1,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,canadianbass.com/,25,1,-1,-1,0,0,0,0
25,-1,0,0,0,0,0,1,0,-1,0,1,36,0,-1,0,1,0,1.0,1,0,4,0,3,0,6,0,0,0,0,48,3,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,1,0,-1,0,canadianmotorsportsexpo.blogspot.com/2009/12/motorcycle-legends-miguel-and-yvon.html,92,-1,-1,-1,0,0,0,0
26,-1,0,0,0,0,0,0,0,-1,0,1,18,0,-1,0,1,0,1.0,1,0,0,0,1,0,0,0,0,0,1,19,3,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,canadianaffairs.ca/en/seat_selection/,45,1,-1,-1,0,0,0,0
27,-1,0,0,0,0,0,1,0,-1,0,1,21,0,-1,0,1,0,1.0,1,0,0,0,1,0,0,0,0,0,0,1,1,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,canadiangeographic.ca/,30,1,-1,-1,0,0,0,0
28,1,0,0,0,0,0,1,1,1,0,1,21,0,1,0,1,0,0.0,1,0,0,0,1,0,0,0,0,0,0,9,2,1.0,1.0,1.0,1,1.0,-1,0,0,-1,0,-1,1,0,canadiangeriatrics.ca/default/,38,1,-1,-1,0,0,0,0
29,1,0,0,0,0,0,1,1,1,0,1,18,0,1,0,1,0,0.0,1,0,0,0,1,0,0,0,0,0,0,1,1,1.0,1.0,1.0,1,1.0,-1,0,0,-1,0,-1,1,0,canadiancarpin.com/,27,1,-1,-1,0,0,0,0
30,-1,0,0,0,0,0,0,0,-1,0,1,20,0,-1,0,1,0,1.0,1,0,0,0,2,0,0,0,0,0,0,35,3,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,canadiansoldiers.com/vehicles/tanks/mainbattletanks.htm,63,1,-1,-1,0,0,0,0
31,-1,0,0,0,0,0,0,0,-1,0,1,20,0,-1,0,1,0,1.0,1,0,0,0,2,0,0,0,0,0,0,27,2,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,canadiansoldiers.com/organization/districts.htm,55,1,-1,-1,0,0,0,0
32,-1,0,0,0,0,0,0,0,-1,0,1,20,0,-1,0,1,0,1.0,1,0,0,0,2,0,8,0,0,0,0,42,3,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,canadiansoldiers.com/insignia/titles/metalshoulder19391945.htm,70,1,-1,-1,0,0,0,0
33,-1,0,0,0,0,0,0,0,-1,0,1,20,0,-1,0,1,0,1.0,1,0,0,0,2,0,0,0,0,0,0,28,3,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,canadiansoldiers.com/insignia/titles/slipons.htm,56,1,-1,-1,0,0,0,0
34,-1,0,0,0,0,0,0,0,-1,0,1,25,0,-1,0,1,0,1.0,1,0,5,1,2,0,0,0,0,0,0,52,2,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,canadian-universities.net/Universities/National-Theatre-School-of-Canada.html,85,-1,-1,-1,0,0,0,0
35,1,0,0,0,0,0,1,1,1,0,1,30,0,1,0,1,0,0.0,1,0,0,0,3,0,0,0,0,0,0,27,3,1.0,1.0,1.0,1,1.0,-1,0,0,-1,1,0,1,0,canadianbiodiversity.mcgill.ca/english/ecozones/index.htm,65,1,-1,-1,0,0,0,0
36,1,0,0,0,0,0,1,-1,1,0,1,24,0,1,0,1,0,0.0,1,0,0,0,2,0,0,0,0,0,0,1,1,1.0,0.0,1.0,1,0.0,-1,0,0,-1,1,0,1,0,canadian.lobsterpound.ca/,33,1,-1,-1,0,0,0,0
37,-1,0,0,0,0,0,1,0,-1,0,1,19,0,-1,0,1,0,1.0,1,0,0,0,1,0,4,0,1,0,0,1,1,0.0,-1.0,0.0,-1,0.0,-1,6,0,-1,0,-1,-1,0,canadiansailings.ca/?p=2409,35,1,-1,-1,0,0,0,0
38,1,0,0,0,0,0,1,1,1,0,1,30,0,1,0,1,0,0.0,1,0,0,0,3,0,1,0,0,0,0,24,3,1.0,1.0,1.0,1,1.0,-1,0,0,-1,1,0,1,0,canadianbiodiversity.mcgill.ca/english/intro/page3.htm,62,1,-1,-1,0,0,0,0
39,-1,0,1,0,0,0,1,0,-1,0,1,22,0,-1,0,1,0,1.0,1,0,0,0,3,0,0,0,0,0,0,28,4,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,1,0,-1,0,canadaonline.about.com/od/quebec/p/mariodumont.htm,58,1,-1,-1,0,0,0,0
40,-1,0,1,0,0,0,1,0,-1,0,1,22,0,-1,0,1,0,1.0,1,0,0,0,3,0,0,0,0,0,3,54,3,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,1,0,-1,0,canadaonline.about.com/od/partyleadersfed/Canadian_Federal_Party_Leaders.htm,84,-1,-1,-1,0,0,0,0
41,-1,0,1,0,0,0,1,0,-1,0,1,22,0,-1,0,1,0,1.0,1,0,0,0,3,0,0,0,0,0,0,34,4,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,1,0,-1,0,canadaonline.about.com/od/parliament/p/parlbldgsfire.htm,64,1,-1,-1,0,0,0,0
42,-1,0,0,0,0,0,0,0,-1,0,1,17,0,-1,0,0,0,1.0,0,0,1,1,1,0,0,0,0,0,0,1,1,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,0,-1,-1,0,candy-samples.net/,25,1,-1,-1,0,0,0,0
43,-1,0,1,0,0,0,1,0,-1,0,1,22,0,-1,0,1,0,1.0,1,0,0,0,3,0,0,0,0,0,0,34,4,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,1,0,-1,0,canadaonline.about.com/od/trudeaudeath/a/trudeaudies.htm,64,1,-1,-1,0,0,0,0
44,1,0,1,0,0,0,1,1,1,0,1,22,0,1,0,1,0,0.0,1,0,0,0,3,0,0,0,0,0,0,24,4,1.0,1.0,1.0,1,1.0,-1,0,0,-1,1,0,1,0,canadaonline.about.com/od/quebec/a/mnasque.htm,54,1,-1,-1,0,0,0,0
45,-1,0,1,0,0,0,1,0,-1,0,1,22,0,-1,0,1,0,1.0,1,0,0,0,3,0,0,0,0,0,3,48,3,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,1,0,-1,0,canadaonline.about.com/od/mapsprovinces/Maps_of_Canadian_Provinces.htm,78,-1,-1,-1,0,0,0,0
46,-1,0,1,0,0,0,1,0,-1,0,1,22,0,-1,0,1,0,1.0,1,0,0,0,3,0,0,0,0,0,0,36,4,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,1,0,-1,0,canadaonline.about.com/od/supremecourt/a/chiefjustices.htm,66,1,-1,-1,0,0,0,0
47,-1,0,1,0,0,0,1,0,-1,0,1,22,0,-1,0,1,0,1.0,1,0,0,0,3,0,0,0,0,0,3,52,3,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,1,0,-1,0,canadaonline.about.com/od/provinces/Canadian_Provinces_and_Territories.htm,82,-1,-1,-1,0,0,0,0
48,-1,0,1,0,0,0,1,0,-1,0,1,22,0,-1,0,1,0,1.0,1,0,6,0,3,0,1,0,0,0,0,71,5,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,1,0,-1,0,canadaonline.about.com/od/ww1battles/ig/Pictures-Battle-of-Vimy-Ridge/Arthur-Currie-Photo.htm,101,-1,-1,-1,0,0,0,0
49,-1,0,1,0,0,0,1,0,-1,0,1,22,0,-1,0,1,0,1.0,1,0,0,0,3,0,0,0,0,0,0,41,3,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,1,0,-1,0,canadaonline.about.com/od/womeningovernment/p/cairinewilson.htm,67,1,-1,-1,0,0,0,0
50,-1,0,1,0,0,0,1,0,-1,0,1,22,0,-1,0,1,0,1.0,1,0,0,0,3,0,0,0,0,0,2,37,4,0.0,-1.0,0.0,-1,0.0,-1,0,0,-1,1,0,-1,0,canadaonline.about.com/od/manitoba/Province_of_Manitoba.htm,71,1,-1,-1,0,0,0,0
51,1,0,1,0,0,0,1,1,1,0,1,22,0,1,0,1,0,0.0,1,0,0,0,3,0,0,0,0,0,1,30,3,1.0,1.0,1.0,1,1.0,-1,0,0,-1,1,0,1,0,canadaonline.about.com/od/trudeau/Pierre_Trudeau.htm,60,1,-1,-1,0,0,0,0
